aircraft:wing:var_sweep_mass_penalty,0,unitless,
aircraft:wing:wetted_area_scaler,1,unitless,
mission:constraints:max_mach,0.825,unitless,
mission:design:cruise_altitude,35000,ft,
mission:design:gross_mass,156000,lbm,
mission:design:range,2455,NM,
mission:design:thrust_takeoff_per_eng,25000,lbf,
mission:landing:lift_coefficient_max,2,unitless,
mission:summary:cruise_mach,0.76,unitless,
mission:summary:fuel_flow_scaler,1,unitless,
mission:takeoff:fuel_simple,1000,lbm,
mission:takeoff:lift_coefficient_max,3,unitless,
mission:takeoff:lift_over_drag,17.354,unitless,
settings:equations_of_motion,height_energy,
settings:mass_method,FLOPS,
